auroc,auprc,balanced_accuracy,f1,sensitivity,specificity,brier,ece,nll,threshold,n_samples,model_name,modality,table_source,calibration_method,fusion_method,source_rows,external_rows,n_features,feature_strategy,validation_rows,dataset,train_rows,test_rows,audit_model,test_positive_prevalence,effective_sample_size,control_method,prediction_source,split,n_positive,n_negative,observed_prevalence,mean_probability,calibration_gap,mce,n_bins,non_empty_bins,representation,domain_auroc,domain_auprc,accuracy,n_source,n_external,test_source_rows,test_external_rows,adaptation_method,mmd_before,mmd_after,mmd_reduction,mean_abs_smd_before,mean_abs_smd_after,max_abs_smd_before,max_abs_smd_after,weight_config,weight_cap,clip_quantile,min_weight,max_weight,mean_weight,recalibration_method,abs_calibration_gap,source_prevalence_for_offset,target_prevalence_for_offset,prevalence_offset,auprc_lift_over_prevalence,analysis_family,metric_split,evaluation_protocol,skipped,modality_combination,n_modalities,available_modalities,base_feature_set,ablation_name,removed_features,skip_reason,n_matched_pairs,n_train_participants,n_test_participants,threshold_source,n_participants,n_ensemble_models,ensemble_members,architecture,validation_auroc,validation_auprc,validation_balanced_accuracy
0.5,0.3238993710691824,0.5,0.0,0.0,1.0,0.3238993710691824,0.3238993710691824,4.474835856825244,0.5,636.0,dummy_most_frequent,cough,ml_baseline_metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4794536012643938,0.3156724058308153,0.4794536012643937,0.2961165048543689,0.2961165048543689,0.6627906976744186,0.4559748427672956,0.4559748427672956,6.2995257984365445,0.5,636.0,dummy_stratified,cough,ml_baseline_metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7963422894558592,0.6715989816286063,0.7394107021901106,0.6476578411405295,0.7718446601941747,0.7069767441860465,0.1882896117008212,0.1574655461283426,0.5665048862465664,0.5,636.0,logistic_regression,cough,ml_baseline_metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8043576428087604,0.7169128559943263,0.6574170241589523,0.4932432432432432,0.3543689320388349,0.9604651162790696,0.1715386034235444,0.1151887699250958,0.5244061456095741,0.5,636.0,random_forest,cough,ml_baseline_metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,0.3238993710691824,0.5,0.0,0.0,1.0,0.3238993710691824,0.3238993710691824,4.474835856825244,0.5,636.0,dummy_most_frequent,breath,ml_baseline_metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4794536012643938,0.3156724058308153,0.4794536012643937,0.2961165048543689,0.2961165048543689,0.6627906976744186,0.4559748427672956,0.4559748427672956,6.2995257984365445,0.5,636.0,dummy_stratified,breath,ml_baseline_metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7623391284714381,0.5755500072559496,0.6901670806051028,0.5950095969289827,0.7524271844660194,0.627906976744186,0.202071345856019,0.1440608497706545,0.5862017272899469,0.5,636.0,logistic_regression,breath,ml_baseline_metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7970365771054415,0.674904822278262,0.6776473244524723,0.5426829268292683,0.4320388349514563,0.9232558139534884,0.1690079487244462,0.0737251767801886,0.5164544666172431,0.5,636.0,random_forest,breath,ml_baseline_metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,0.3238993710691824,0.5,0.0,0.0,1.0,0.3238993710691824,0.3238993710691824,4.474835856825244,0.5,1590.0,dummy_most_frequent,speech,ml_baseline_metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5145947166403251,0.3306832753251511,0.5145947166403251,0.3427458617332035,0.341747572815534,0.6874418604651162,0.4245283018867924,0.4245283018867924,5.865075812337534,0.5,1590.0,dummy_stratified,speech,ml_baseline_metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
